,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Ballitoville,ZA,-29.539,31.2144,72.16,73,40,1.14,scattered clouds
212,Komatipoort,ZA,-25.4332,31.9548,91.06,19,0,7.87,clear sky
213,Hobyo,SO,5.3505,48.5268,77.32,83,60,26.53,broken clouds
214,Okhotsk,RU,59.3833,143.3,46.62,71,100,17.76,overcast clouds
215,Richards Bay,ZA,-28.783,32.0377,69.93,84,93,4.99,overcast clouds
216,Perivolia,GR,35.4833,23.9833,85.12,65,20,12.66,few clouds
217,Acari,PE,-15.4311,-74.6158,71.71,55,79,9.19,broken clouds
218,Avallon,FR,47.4833,3.9,64.72,37,35,9.42,scattered clouds
219,Beldanga,IN,23.9333,88.25,84.78,75,77,4.25,broken clouds
220,Safaga,EG,26.7292,33.9365,86.22,51,0,4.9,clear sky
221,Baruun-Urt,MN,46.6806,113.2792,39.74,59,19,7.4,few clouds
222,Oistins,BB,13.0667,-59.5333,87.89,74,40,19.57,scattered clouds
223,Samfya,ZM,-11.3649,29.5565,80.11,28,96,2.86,overcast clouds
224,Anandpur Sahib,IN,31.25,76.5,79.23,69,0,4.12,clear sky
225,Mandal,IN,25.45,74.5667,79.23,59,0,8.3,clear sky
226,Chegem,RU,43.2833,43.1333,60.93,54,2,9.84,clear sky
227,Pocone,BR,-16.2567,-56.6228,105.71,17,0,8.93,clear sky
228,Itoman,JP,26.1247,127.6694,82.42,86,75,19.57,broken clouds
229,Cayenne,GF,4.9333,-52.3333,91.44,52,75,9.22,broken clouds
230,Amarante Do Maranhao,BR,-5.5667,-46.7422,98.01,27,30,6.35,scattered clouds
231,Salym,RU,60.0625,71.4789,53.19,94,98,9.6,overcast clouds
232,Kununurra,AU,-15.7667,128.7333,75.18,73,36,1.14,scattered clouds
233,Natal,BR,-5.795,-35.2094,86.22,70,75,20.71,broken clouds
234,Mubi,NG,10.2676,13.2644,76.55,80,100,1.54,overcast clouds
235,Nipawin,CA,53.3668,-104.0009,53.64,94,0,5.75,clear sky
236,Totness,SR,5.8833,-56.3167,87.58,59,22,8.46,few clouds
237,Floro,NO,61.5996,5.0328,55.47,62,40,18.41,scattered clouds
238,Hami,CN,42.8,93.45,68.72,15,100,1.16,overcast clouds
239,Dosso,NE,13.049,3.1937,81.5,67,88,8.28,overcast clouds
240,Pechora,RU,65.1472,57.2244,48.96,92,100,11.1,overcast clouds
241,Etchoropo,MX,26.7667,-109.6667,86.41,66,6,12.53,clear sky
242,Hofn,IS,64.2539,-15.2082,50.02,62,75,2.3,broken clouds
243,Lac-Megantic,CA,45.5834,-70.8823,49.55,98,100,2.82,overcast clouds
